name,service,entityType
PurchaseOrder,API_PURCHASEORDER_2,PURCHASEORDER_TYPE
PurchaseReqn,API_PURCHASEREQUISITION_2,PURCHASEREQNTYPE
ProductAssignedSoldToParty,API_PRODUCT_AVAILY_INFO,ATPRLVTPRODASSGDSOLDTOPTY_TYPE
CnsldtnCustomerText,API_CNSLDTNCUSTOMER,CNSLDTNCUSTOMERTEXT_TYPE
PlannedOrderCapacity,API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE
WellCompltnDwnTme,API_PRAWELLCOMPLETIONDOWNTIME,WELLCOMPLETIONDT_TYPE
WorkCenterHeader,API_WORK_CENTER,WORKCENTERHEADERTYPE
ExplicitAssortmentModuleVers,API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULEVERSTYPE
CentralRequestForQuotation,API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE
ProjectBillingRequest,API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUEST_TYPE
WorkCenterCapacityInterval,API_WORK_CENTER,WORKCENTERCAPACITYINTERVALTYPE
CnsldtnPlant,API_CNSLDTNPLANT,CNSLDTNPLANT_TYPE
WarehouseResource,API_WAREHOUSE_RESOURCE_2,WAREHOUSERESOURCETYPE
WhseInbDelivItemSerialNumber,API_WHSE_INB_DELIVERY_2,WHSEINBDELIVITEMSERIALNUMBERTYPE
CnsldtnPlantText,API_CNSLDTNPLANT,CNSLDTNPLANTTEXT_TYPE
SupplierQuotationItem,API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE
BillingDocumentRequestText,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTTEXT_TYPE
WorkCenterDescription,API_WORK_CENTER,WORKCENTERDESCRIPTIONTYPE
RetailPromotionText,API_RETAILPROMOTION,A_RETAILPROMOTIONTEXT_TYPE
BillingDocumentRequestPartner,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTPARTNER_TYPE
QualityNotificationItemCause,API_QUALITYNOTIFICATION,QUALITYNOTIFICATIONITEMCAUSE_TYPE
WarehouseOrder,API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE
MsrgPointConditionLongText,API_MEASURINGPOINT,MSRGPOINTCONDITIONLONGTEXT_TYPE
RtlPromnLocalStoreGrpTxt,API_RETAILPROMOTION,A_RETAILPROMOTIONLOCALSTOREGROUPT_TYPE
AssortmentModuleVersionText,API_RFM_ASSORTMENT_MODULE,ASSORTMENTMODULEVERSIONTEXTTYPE
ConsolidationGroupStructure,API_CNSLDTNGROUPSTRUCTURE,CONSOLIDATIONGROUPSTRUCTURE_TYPE
ProductAssignedSalesDocItem,API_PRODUCT_AVAILY_INFO,ATPRLVTPRODSALESDOCITEM_TYPE
ServiceCancellationReason,API_SRVCCANCELLATIONREASON,SERVICECANCELLATIONREASON_TYPE
POSubcontractingComponent,API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE
ProductToExplicitAsstmtMdlVers,API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE
ExplicitAssortmentModuleUser,API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULEUSERTYPE
ProductMRPAreaBatch,API_PRODUCT_AVAILY_INFO,ATPRLVTPRODUCTMRPAREABATCH_TYPE
PlannedOrderHeader,API_PLANNEDORDER,PLANNEDORDERHEADERTYPE
ExplctAsstmtMdlUsrProdExclsn,API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSNTYPE
ExplctAsstmtMdlUsrProdExclsn,API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSN_TYPE
WorkCenterCostCenter,API_WORK_CENTER,WORKCENTERCOSTCENTERTYPE
CentralReqForQuotationItem,API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE
WorkCenterCapacity,API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYTYPE
ProductStorageLocation,API_PRODUCT_AVAILY_INFO,ATPRLVTPRODUCTSTORLOC_TYPE
WorkCenterCapacityInterval,API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYINTERVALTYPE
WorkCenterCapacityShift,API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYSHIFTTYPE
ServiceCancellationReasonText,API_SRVCCANCELLATIONREASON,SRVCCANCELLATIONREASONTEXT_TYPE
ServiceContractItem,API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE
ContrAcctgBusPartnerPayment,API_CABUSPARTPAYMENT,CABUSPARTPAYMENT_2_TYPE
RtlPromnLoclStoreGrpStore,API_RETAILPROMOTION,A_RTLPROMNLOCLSTOREGRPSTORE_TYPE
MeasuringPoint,API_MEASURINGPOINT,MEASURINGPOINTTYPE
ProjectProfileCode,API_ENTPROJECTPROFILECODE,PROJECTPROFILECODETYPE
CnsldtnFSItemHierarchyNode,API_CNSLDTNFSITEMHIERARCHY,CNSLDTNFSITEMHIERARCHYNODE_TYPE
CnsldtnMaterialGroup,API_CNSLDTNMATERIALGROUP,CNSLDTNMATERIALGROUP_TYPE
PurchaseOrderItem,API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE
ProjectBillingRequestItem,API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUESTITEM_TYPE
FreightBookingDocRef,API_FREIGHTBOOKING,FREIGHTBOOKINGDOCREF_TYPE
BillingDocument,API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE
WarehouseStorageType,API_WAREHOUSE_2,WAREHOUSESTORAGETYPETYPE
ExplicitAssortmentModule,API_RFM_ASSORTMENT_MODULE,EXPLICITASSORTMENTMODULETYPE
CntrlReqForQuotationBidder,API_CNTRLREQFORQUOTATION,CNTRLREQFORQUOTATIONBIDDERTYPE
CnsldtnMaterialGroupText,API_CNSLDTNMATERIALGROUP,CNSLDTNMATERIALGROUPTEXT_TYPE
CnsldtnGrpStrucMethAssgmt,API_CNSLDTNGROUPSTRUCTURE,CNSLDTNGRPSTRUCMETHASSGMT_TYPE
PRAInternalMarketingRateTrans,API_PRAINTERNALMARKETING,PRAINTERNALMARKETINGRATETRANS_TYPE
RESpaceGroupTypeText,API_RE_SPACEGROUPTYPE,RESPACEGROUPTYPETEXT_TYPE
FreightOrderItem,API_FREIGHTORDER,FREIGHTORDERITEM_TYPE
WorkCenterCapacityDescription,API_WORK_CENTER,WORKCENTERCAPACITYDESCRIPTIONTYPE
CnsldtnCustomer,API_CNSLDTNCUSTOMER,CNSLDTNCUSTOMER_TYPE
WorkCenterPooledCapacity,API_WORK_CENTER,WORKCENTERPOOLEDCAPACITYTYPE
WorkCenterCapacity,API_WORK_CENTER,WORKCENTERCAPACITYTYPE
PlannedOrderComponent,API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE
SupplierQuotation,API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE
FreightOrder,API_FREIGHTORDER,FREIGHTORDER_TYPE
CentralRFQItemDistribution,API_CNTRLREQFORQUOTATION,CENTRALRFQITEMDISTRIBUTIONTYPE
RtlPromnGlobalStoreGroup,API_RETAILPROMOTION,A_RTLPROMNGLOBALSTOREGROUP_TYPE
RtlPromnLocalStoreGroup,API_RETAILPROMOTION,A_RTLPROMNLOCALSTOREGROUP_TYPE
WellCompltnDwnTmeReason,API_PRAWELLCOMPLETIONDOWNTIME,WELLCOMPLETIONDOWNTIME_TYPE
BillingDocumentRequestItem,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE
RESpaceGroupType,API_RE_SPACEGROUPTYPE,RESPACEGROUPTYPE_TYPE
SalesOrder,API_SALESORDER,SALESORDER_TYPE
ServiceContract,API_SERVICECONTRACT,SERVICECONTRACT_TYPE
WorkCenterCapacityShift,API_WORK_CENTER,WORKCENTERCAPACITYSHIFTTYPE
WarehouseTask,API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE
PurchaseReqnItem,API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE
CustomerReturn,API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE
SalesOrderItemPricingElement,API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE
ConsolidationTask,API_CONSOLIDATIONTASK,CNSLDTNTASK_TYPE
WhseInboundDeliveryItem,API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE
WhseInboundDeliveryHead,API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYHEADTYPE
ProductMRPArea,API_PRODUCT_AVAILY_INFO,ATPRLVTPRODUCTMRPAREA_TYPE
MeasuringPointCondition,API_MEASURINGPOINT,MSRGPOINTCONDITION_TYPE
rend_diri,BR_CTR_SERVICE_O4,REND_DIRITYPE
BillingDocumentRequest,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE
MeasuringPointLongText,API_MEASURINGPOINT,MEASURINGPOINTLONGTEXTTYPE
BillingDocRequestItemPartner,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE
RetailPromotion,API_RETAILPROMOTION,A_RETAILPROMOTION_TYPE
ProductToExplicitAssortmentMdl,API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSORTMENTMDLTYPE
ReturnsInspection,API_RETURNSINSPECTION_2,RETURNSINSPECTION_TYPE
RetailPromotionItem,API_RETAILPROMOTION,A_RETAILPROMOTIONITEM_TYPE
WrittenOffProjectBillgElmEntry,API_PROJECTBILLINGREQUEST,WRITTENOFFPRJBLGELMENTRDETS_TYPE
PayrollEarmarkedFundsDocItem,API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE
FreightOrderEvent,API_FREIGHTORDER,FREIGHTORDEREVENT_TYPE
PRAInternalMarketingRate,API_PRAINTERNALMARKETING,PRAINTERNALMARKETINGRATEHDR_TYPE
SalesOrderItem,API_SALESORDER,SALESORDERITEM_TYPE
PayrollEarmarkedFundsDoc,API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE
BillingDocumentRequestItemText,API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMTEXT_TYPE
